user,text,created_at
erwinrfaizal,"RT @Dananjaya012: Nah gini dong rameee, Relawan Jokowi vs Relawan PDIP vs Relawan Ganjar. Satu kubu gontok2an seru juga nih untuk ditonton.…",2022-11-30 01:20:21+00:00
arief2hidayat,"@HelmiFelis_ kalau dia berani sekarang, ya Nothing to lose, kemungkinan juga udah ada deal-dealan... tambang ilegal… https://t.co/D3QWPLsyw5",2022-11-30 01:20:11+00:00
disperkimpml,Disperkim Pemalang melakukan peninjauan Program Tuku Lemah Oleh Omah (Beli Rumah Dapat Rumah) yang dicetuskan Guber… https://t.co/M0c1BtsFNG,2022-11-30 01:20:04+00:00
ChannelBobotoh,RT @VIVAcoid: Charta Politika: PDIP Berpotensi Ditinggalkan Pemilih Jika Tak Usung Ganjar Capres 2024 https://t.co/RgL5YLbs9U,2022-11-30 01:20:00+00:00
sidar48298337,"Ganjar Bangun 2.352 Desa Mandiri Energi. Jateng Jadi Contoh Internasional
#ganjarpranowo
#ganjar_pranowo… https://t.co/QEPG8WzbIi",2022-11-30 01:20:00+00:00
cici_paramin,"Ganjar bangun 2.352 desa mandiri energi.

#ganjarpranowo
#ganjar_pranowo
#ganjarkita
#ganjaruntukindonesia… https://t.co/ts8X0xQ920",2022-11-30 01:20:00+00:00
jumarni_mar,"Ganjar Bangun 2.352 Desa Mandiri Energi, Jateng Jadi Contoh EBT Nasional
#ganjarpranowo
#ganjar_pranowo
#ganjarkita… https://t.co/yBSe1XcjA3",2022-11-30 01:20:00+00:00
atra_sam,"ganjar jadikan jateng contoh EBT nasional
#ganjarpranowo
#ganjar_pranowo
#ganjarkita
#ganjaruntukindonesia… https://t.co/om5rja45kE",2022-11-30 01:20:00+00:00
hanindidin,"Ganjar Bangun 2.352 Desa Mandiri Energi
#ganjarpranowo
#ganjar_pranowo
#ganjarkita
#ganjaruntukindonesia… https://t.co/Jo3YFbhRwN",2022-11-30 01:20:00+00:00
uni19707402,"GANJAR BANGUN 2.352 Desa Mandiri Energi. Jateng jadi EBT Nasional 
#ganjarpranowo
#ganjar_pranowo
#ganjarkita… https://t.co/yTZOAaQZ4V",2022-11-30 01:20:00+00:00
